2021-09-08 09:58:44.830 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 09:58:44.840 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 4.141 seconds (JVM running for 4.98)
2021-09-08 11:37:47.696 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 11:37:47.704 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 2556 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 11:37:47.705 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 11:37:47.767 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 11:37:47.768 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 11:37:49.614 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 11:37:49.632 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 11:37:49.633 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 11:37:49.633 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-08 11:37:49.762 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 11:37:49.762 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1994 ms
2021-09-08 11:37:52.278 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 11:37:52.529 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-08 11:37:52.718 INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@40ffe205, org.springframework.security.web.context.SecurityContextPersistenceFilter@44505312, org.springframework.security.web.header.HeaderWriterFilter@68e60cea, org.springframework.web.filter.CorsFilter@324e6078, org.springframework.security.web.authentication.logout.LogoutFilter@330d13ab, com.xtw.bridge.filter.JwtAuthenticationTokenFilter@2eb59e24, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a492458, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@33cf042a, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@6f51cfa6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c9ee6e, org.springframework.security.web.session.SessionManagementFilter@7d47a7b1, org.springframework.security.web.access.ExceptionTranslationFilter@67f40de2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3451b008]
2021-09-08 11:37:52.835 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-09-08 11:37:52.961 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
